Gene,ALL1,ALL2
D23673_at,3617,2103
D25215_at,-26,-144
D25216_at,1023,714
D25217_at,288,436
D25218_at,327,239
D25248_at,460,285
D25274_at,1148,507
D25278_at,469,321
D25303_at,132,209
D25328_at,-146,377
D25538_at,61,247
D25539_at,519,15
D25547_at,797,768
D26018_at,-63,-14
D26067_at,461,171
D26068_at,3355,3872
D26069_at,295,258
D26129_at,-31,-8
D26135_at,-303,-165
D26308_at,825,660
D26350_at,-116,-59
D26361_at,-505,108
D26362_at,924,726
D26443_at,54,-51
D26528_at,175,142
D26561_cds1_at,-68,29
D26561_cds2_at,-49,-17
D26561_cds3_at,-32,13
D26579_at,233,486
D26598_at,1226,2185
D26599_at,1703,2474
D26600_at,1647,2361
D28114_at,425,271
D28118_at,225,490
D28124_at,1169,1078
D28137_at,538,572
D28364_at,122,149
D28383_at,263,469
D28416_at,2335,1967
D28423_at,1640,2224
D28476_at,815,906
D28483_at,361,387
D28532_at,352,102
D28588_at,427,349
D28589_at,481,-192
D28915_at,491,821
D29012_at,1944,1598
D29013_at,566,524
D29641_at,253,112
D29642_at,438,658
D29643_at,633,998
D29677_at,101,479
D29810_at,-19,-37
D29833_at,-53,44
D29954_at,1199,1002
D29956_at,155,183
D29958_at,-215,18
D29963_at,967,1162
D30036_at,512,256
D30037_at,181,91
D30655_at,3025,6944
D30742_at,236,413
D30755_at,295,437
D30756_at,49,197
D30758_at,1676,3390
D31716_at,188,196
D31762_at,166,-1
D31763_at,179,-32
D31764_at,-719,-1723
D31765_at,709,687
D31766_at,654,675
D31767_at,3186,3686
D31784_at,139,71
D31797_at,508,318
D31815_at,-111,-59
D31846_at,2060,1604
D31883_at,444,1085
D31884_at,716,1939
D31885_at,569,663
D31886_at,-76,-219
D31887_at,151,148
D31888_at,239,412
D31890_at,653,2753
D31891_at,874,551
D31897_at,-87,316
D32001_at,1031,787
D32050_at,1530,536
D32202_at,331,86
D37931_at,233,190
D37965_at,-34,4
D38037_at,-109,337
D38047_at,2111,2956
D38048_at,1053,1595
D38076_at,1279,1498
D38128_at,36,-952
D38145_at,346,370
D38293_at,50,153
D38305_at,16,385
D38449_at,-73,-15
D38462_at,-43,-26
D38491_at,75,174
D38500_at,-261,-277
D38503_at,-9,-32
D38521_at,280,631
D38522_at,13,5
D38524_at,296,839
D38535_at,758,846
D38548_at,824,459
D38549_at,696,262
D38550_at,287,555
D38551_at,516,958
D38552_at,170,102
D38553_at,335,112
D38555_at,338,413
D38583_at,-105,337
D38751_at,-509,-284
D42038_at,-190,-112
D42039_at,250,-240
D42041_at,824,536
D42043_at,2170,2558
D42044_at,-118,-63
D42045_at,-50,3
D42046_at,719,501
D42047_at,330,210
D42053_at,380,642
D42054_at,192,16
D42055_at,9,27
D42063_at,104,227
D42072_at,-18,-36
D42073_at,-147,-34
D42084_at,330,837
D42085_at,289,1028
D42087_at,237,345
D42108_at,-2,29
D42123_at,1264,936
D42138_at,213,236
D43636_at,125,548
D43638_at,168,142
D43642_at,2637,1486
D43767_at,511,131
D43768_at,-267,-104
D43772_at,136,-634
D43947_at,60,131
D43948_at,318,465
D43949_at,879,588
D43950_at,719,247
D43951_at,632,300
D44466_at,179,-45
D45248_at,2148,1837
D45370_at,-193,171
D45371_at,591,521
D45399_at,68,77
D45906_at,-80,31
D49357_at,-33,-300
D49387_at,142,118
D49394_at,-60,-202
D49396_at,81,204
D49400_at,1174,1120
D49410_at,531,507
D49488_at,74,111
D49489_at,1020,1007
D49490_at,21,671
D49493_at,-204,16
D49677_at,-540,-509
D49738_at,963,1676
D49742_at,-946,-298
D49817_at,-193,410
D49818_at,-509,394
D49950_at,75,129
D49958_at,88,95
D50063_at,1291,1213
D50310_at,4031,6862
D50312_at,-243,-233
D50370_at,149,0
D50402_at,-36,-79
D50487_at,-23,4
D50495_at,-3,-87
D50525_at,588,316
D50532_at,128,-7
D50582_at,-206,-115
D50640_at,35,176
D50645_at,80,24
D50663_at,180,687
D50678_at,-61,-105
D50683_at,139,396
D50692_at,161,-28
D50810_at,-38,-148
D50840_at,22,319
D50857_at,69,146
D50863_at,-6,-43
D50911_at,791,1012
D50912_at,299,256
D50913_at,423,7
D50914_at,88,290
D50915_at,55,21
D50916_at,233,30
D50917_at,271,1151
D50918_at,1048,1550
D50919_at,63,15
D50920_at,159,409
D50922_at,269,146
D50923_at,-234,217
D50924_at,192,101
D50925_at,202,236
D50926_at,326,234
D50927_at,244,555
D50928_at,37,334
D50930_at,512,666
D50931_at,-477,-88
D55638_at,-152,-197
D55640_at,793,525
D55654_at,1094,2133
D55696_at,194,-921
D55716_at,1176,1107
D56495_at,656,299
D59253_at,7,32
D61380_at,966,1401
D61391_at,-75,-65
D63134_at,-417,-353
D63135_at,178,234
D63160_at,427,25
D63390_at,8,102
D63391_at,238,-622
D63412_at,39,59
D63475_at,984,1709
D63476_at,1396,1932
D63477_at,240,109
D63478_at,760,738
D63480_at,164,151
D63481_at,931,515
D63482_at,370,428
D63483_at,114,110
D63484_at,-516,-548
D63485_at,941,794
D63486_at,571,453
D63487_at,212,724
D63506_at,441,524
D63813_at,127,71
D63851_at,549,367
D63874_at,4157,11557
D63875_at,252,300
D63876_at,540,831
D63877_at,748,480
D63878_at,1027,1701
D63879_at,266,169
D63880_at,556,476
D63881_at,645,1000
D63998_at,290,251
D64109_at,156,234
D64110_at,310,1359
D64142_at,5152,16420
D64154_at,686,1096
D64158_at,440,220
D64159_at,27,70
D67029_at,140,416
D70830_at,-675,-855
D76435_at,23,0
D76444_at,24,562
D78011_at,-131,-60
D78012_at,2697,350
D78014_at,222,91
D78129_at,105,322
D78134_at,1559,4021
D78151_at,1554,1479
D78156_at,211,249
D78261_at,-16,2
D78275_at,329,450
D78333_at,-8,-7
D78334_at,80,-16
D78335_at,-133,8
D78361_at,9881,17544
D78367_at,140,153
D78514_at,-2,7
D78586_at,295,359
D78611_at,332,52
D79205_at,25071,23095
D79983_at,133,220
D79985_at,-1450,-1684
D79986_at,1232,2236
D79987_at,-265,-366
D79988_at,401,150
D79989_at,14,105
D79990_at,733,264
D79991_at,977,660
D79992_at,468,437
D79993_at,474,158
D79994_at,135,161
D79995_at,212,37
D79996_at,696,1197
D79997_at,1,3
D79998_at,-541,-404
D79999_at,1162,767
D80001_at,109,33
D80002_at,1692,1536
D80003_at,251,248
D80004_at,318,807
D80005_at,400,492
D80006_at,575,1169
D80007_at,454,286
D80008_at,234,225
D80009_at,186,229
D80010_at,-5,308
D80011_at,-230,-268
D80012_at,497,698
D82060_at,60,62
D82061_at,363,538
D82070_at,395,299
D82326_at,-144,8
D82343_at,-162,119
D82344_at,132,49
D82345_at,19,96
D82346_at,118,-21
D82348_at,540,957
D83004_at,500,633
D83018_at,425,457
D83032_at,329,233
D83195_at,-1172,-1225
D83243_at,578,146
D83407_at,110,85
D83542_at,1225,804
D83597_at,243,119
D83657_at,-196,98
D83699_at,450,38
D83702_at,116,321
D83703_at,239,276
D83735_at,-99,1102
D83767_at,-44,-13
D83776_at,417,401
D83777_at,-214,808
D83778_at,602,577
D83779_at,3121,2988
D83780_at,507,253
D83781_at,-45,49
D83782_at,-590,-20
D83783_at,403,208
D83784_at,453,286
D83785_at,587,142
D83920_at,-126,2267
D84110_at,330,350
D84145_at,186,369
D84239_at,168,87
D84276_at,222,194
D84294_at,487,588
D84307_at,540,252
D84361_at,118,-139
D84424_at,207,165
D84454_at,-228,-15
D84557_at,770,1162
D85181_at,110,285
D85245_at,500,675
D85376_at,180,243
D85418_at,-51,-25
D85423_at,-254,57
D85429_at,833,1365
D85433_at,220,253
D85527_at,584,596
D85758_at,848,1489
D85815_at,1073,587
D85939_at,-268,-320
D86096_cds3_at,108,-18
D86425_at,49,50
D86479_at,1381,1567
D86519_at,247,127
D86549_at,289,540
D86640_at,-49,35
D86956_at,223,183
D86957_at,-55,-10
D86959_at,107,370
D86960_at,181,94
D86961_at,12,-42
D86962_at,655,197
D86963_at,575,623
D86964_at,494,643
D86965_at,729,1502
D86966_at,754,850
D86967_at,4346,2554
D86968_at,-149,-588
D86969_at,52,-9
D86970_at,773,594
D86971_at,-226,385
D86972_at,268,584
D86973_at,141,1108
D86975_at,-66,-68
D86976_at,1380,1214
D86977_at,601,566
D86978_at,742,398
D86979_at,1149,534
D86980_at,-31,18
D86981_at,111,62
D86982_at,265,155
D86983_at,3330,208
D86984_at,-170,-152
D86985_at,33,197
D87009_cds3_at,-18,-108
D87011_at,-116,-121
D87012_at,-193,-352
D87023_cds2_at,562,634
D87024_at,400,214
D87071_at,-328,1002
D87073_at,329,270
D87074_at,46,207
D87075_at,242,270
D87076_at,234,197
D87077_at,-25,140
D87078_at,619,242
D87116_at,319,511
D87119_at,93,-45
D87120_at,-48,-68
D87127_at,254,117
D87258_at,177,161
D87292_at,719,195
D87328_at,-578,-550
D87432_at,-8,-50
D87433_at,-748,-195
D87434_at,228,444
D87435_at,820,313
D87436_at,153,104
D87437_at,814,1290
D87438_at,970,292
D87440_at,0,73
D87442_at,1199,467
D87443_at,-139,-82
D87444_at,-5,73
D87445_at,136,105
D87446_at,305,307
D87447_at,233,169
D87448_at,90,138
D87449_at,244,269
D87450_at,120,252
D87451_at,1168,1833
D87452_at,220,273
D87453_at,336,252
D87454_at,-1896,-2222
D87455_at,399,399
D87457_at,79,-34
D87458_at,-89,18
D87459_at,230,10
D87460_at,1027,1359
D87461_at,41,155
D87462_at,729,1140
D87463_at,-121,-16
D87464_at,86,135
D87465_at,652,1100
D87466_at,420,176
D87467_at,279,148
D87468_at,287,-16
D87469_at,233,357
D87470_at,140,158
D87673_at,1001,870
D87682_at,24,-174
D87683_at,110,91
D87684_at,503,789
D87685_at,86,124
D87735_at,6251,9740
D87742_at,94,112
D87743_at,251,148
D87845_at,79,352
D87937_at,61,939
D87953_at,952,1490
D87957_at,-218,-171
D87969_at,314,115
D87989_at,690,757
D88146_at,-69,-70
D88152_at,-30,-12
D88213_at,351,383
D88270_at,1965,198
D88378_at,266,173
D88422_at,161,588
D88460_at,-280,-104
D88532_at,106,-38
D88613_at,727,414
D88667_at,-1651,-849
D88795_at,82,-21
D88797_at,108,117
D88799_at,121,-85
D89016_at,1069,1062
D89050_at,-150,-121
D89052_at,216,1657
D89077_at,67,430
D89289_at,184,70
D89501_at,41,-49
D89667_at,1271,3622
D89858_at,240,224
D89859_at,153,153
D90064_at,-49,-43
D90084_at,545,491
D90086_at,952,629
D90097_at,25,13
D90209_at,1095,5457
D90224_at,-146,42
D90276_at,812,512
D90282_at,112,17
D90359_at,37,-21
H46990_at,62,-20
HG1019-HT1019_at,140,21
HG1071-HT1071_at,172,150
HG1078-HT1078_at,2811,2138
HG1098-HT1098_at,-278,-84
HG1102-HT1102_at,353,526
HG1103-HT1103_at,159,182
HG1111-HT1111_at,-116,107
HG1112-HT1112_at,1495,1804
HG1116-HT1116_at,520,541
HG1139-HT4910_at,106,78
HG1148-HT1148_at,-301,-104
HG1153-HT1153_at,1016,3283
HG1155-HT4822_at,2180,1563
HG1205-HT1205_at,252,284
HG142-HT142_at,-160,-20
HG1602-HT1602_at,928,606
HG1604-HT1604_at,-213,-146
HG1612-HT1612_at,3767,2890
HG1614-HT1614_at,1915,997
HG1649-HT1652_at,2006,625
HG172-HT3924_at,315,193
HG1723-HT1729_at,777,456
HG1733-HT1748_at,244,199
HG174-HT174_at,-45,-36
HG180-HT180_at,-246,-43
HG1800-HT1823_at,19655,20187
HG1804-HT1829_at,1121,944
HG1828-HT1857_at,276,117
HG1862-HT1897_at,4788,2698
HG1869-HT1904_at,883,1081
HG1872-HT1907_at,3144,1205
HG1879-HT1919_at,400,528
HG2028-HT2082_at,468,344
HG2036-HT2090_at,258,269
HG2059-HT2114_at,1139,1419
HG2152-HT2222_at,-593,-391
HG2161-HT2231_at,-1534,-2115
HG2167-HT2237_at,456,683
HG2188-HT2258_at,-165,-224
HG2190-HT2260_at,-780,-997
HG2191-HT2261_at,-356,-451
HG2228-HT2305_at,-1051,-1251
HG2229-HT2306_at,-384,-351
HG2247-HT2332_at,211,-46
HG2261-HT2352_at,-242,-365
HG2264-HT2360_at,564,278
HG2274-HT2370_at,334,662
HG2279-HT2375_at,3447,4511
HG2280-HT2376_at,1614,880
HG2290-HT2386_at,675,397
HG2309-HT2405_at,-103,-9
HG2314-HT2410_at,-101,-275
HG2320-HT2416_at,1267,602
HG2325-HT2421_at,1068,898
HG2339-HT2435_at,-403,-504
HG2415-HT2511_at,154,452
HG2416-HT2512_at,-110,39
HG2417-HT2513_at,-168,68
HG2442-HT2538_at,225,223
HG2460-HT2556_at,-56,-9
HG2463-HT2559_at,498,478
HG2480-HT2576_at,345,442
HG2492-HT2588_at,-641,-394
HG2507-HT2603_at,-27,-93
HG2525-HT2621_at,436,679
HG2530-HT2626_at,-127,-99
HG2538-HT2634_at,65,104
HG2566-HT4867_at,2509,1769
HG2573-HT2669_at,170,188
HG25930-HT26386_at,-7,65
HG2602-HT2698_at,39,-91
HG2604-HT2700_at,-256,-329
HG2614-HT2710_at,251,345
HG2662-HT2758_at,-987,-535
HG2663-HT2759_at,98,91
HG2668-HT2764_at,608,469
HG2686-HT2782_at,-128,-187
HG2689-HT2785_at,-162,-224
HG270-HT270_at,-275,-169
HG2706-HT2802_at,-82,-62
HG2707-HT2803_at,-349,-338
HG2709-HT2805_at,124,256
HG2714-HT2810_at,48,-65
HG2715-HT2811_at,1233,826
HG2723-HT2819_at,-23,-36
HG2724-HT2820_at,-963,189
HG2755-HT2862_at,-208,-155
HG2788-HT2896_at,1215,2424
HG2796-HT2904_at,316,-14
HG2810-HT2921_at,293,205
HG2825-HT2949_at,366,296
HG2855-HT2995_at,1311,1696
HG2873-HT3017_at,18100,23566
HG2874-HT3018_at,371,731
HG2936-HT3080_at,37,36
HG2992-HT5186_at,18,729
HG3039-HT3200_at,1833,2334
HG3063-HT3224_at,-387,-298
HG3088-HT3263_at,81,378
HG3104-HT3280_at,-1289,-438
HG311-HT311_at,7559,12458
HG3111-HT3287_at,-21,27
HG3117-HT3293_at,-201,-114
HG3123-HT3299_at,95,98
HG3132-HT3308_at,65,78
HG3137-HT3313_at,-68,-107
HG315-HT315_at,420,124
HG3162-HT3339_at,741,497
HG3175-HT3352_at,347,351
HG3214-HT3391_at,20707,20221
HG3227-HT3404_at,254,263
HG3231-HT3408_at,320,12
HG3248-HT3425_at,57,50
HG3254-HT3431_at,263,210
HG3255-HT3432_at,484,388
HG3264-HT3441_at,118,-94
HG3286-HT3463_at,-182,-142
HG3288-HT3465_at,170,46
HG3299-HT3476_at,-440,-476
HG33-HT33_at,12801,15610
HG331-HT331_at,-90,-117
HG3313-HT3490_at,-231,-90
HG3344-HT3521_at,381,404
HG3345-HT3522_at,-62,-91
HG3355-HT3532_at,2307,1508
HG3364-HT3541_at,19899,22408
HG3369-HT3546_at,-84,49
HG3400-HT3579_at,-785,-759
HG3405-HT3586_at,110,79
HG3415-HT3598_at,135,110
HG3432-HT3618_at,141,136
HG3432-HT3621_at,-23,32
HG3454-HT3647_at,393,413
HG3477-HT3670_at,-725,-451
HG3492-HT3686_at,2434,1846
HG3494-HT3688_at,223,1074
HG3495-HT3689_at,-123,-168
HG3502-HT3696_at,-14,-11
HG3510-HT3704_at,21,68
HG3514-HT3708_at,4281,7832
HG3517-HT3711_at,76,-28
HG3521-HT3715_at,830,1302
HG3548-HT3749_at,44,207
HG3549-HT3751_at,24223,21103
HG3566-HT3769_at,2639,1081
HG3570-HT3773_at,-341,410
HG3578-HT3781_at,479,654
HG358-HT358_at,622,606
HG3627-HT3836_at,363,229
HG363-HT363_at,853,380
HG37-HT37_at,179,189
HG3733-HT4003_at,-198,-77
HG3740-HT4010_at,449,594
HG3748-HT4018_at,32,130
HG3790-HT4060_at,-40,-124
HG384-HT384_at,9070,10080
HG3872-HT4142_at,-131,-97
HG3884-HT4154_at,83,184
HG3893-HT4163_at,25,109
HG3897-HT4167_at,146,-21
HG3930-HT4200_at,165,123
HG3934-HT4204_at,26,454
HG3936-HT4206_at,276,226
HG3942-HT4212_at,-605,-987
HG3945-HT4215_at,-364,-235
HG3962-HT4232_at,-283,-659
HG3971-HT4241_at,424,188
HG3976-HT4246_at,167,95
HG3985-HT4255_at,-103,27
HG3987-HT4257_at,-748,-197
HG3989-HT4259_at,181,37
HG3992-HT4262_at,153,24
HG3993-HT4263_at,-601,-494
HG3994-HT4264_at,967,372
HG3995-HT4265_at,1574,778
HG3998-HT4268_at,51,-160
HG3999-HT4269_at,-777,-592
HG4018-HT4288_at,513,376
HG4036-HT4306_at,2246,1844
HG4051-HT4321_at,9,5
HG4052-HT4322_at,-219,-202
HG4058-HT4328_at,17,4
HG406-HT406_at,351,378
HG4068-HT4338_at,395,402
HG4073-HT4343_at,665,677
HG4074-HT4344_at,447,314
HG4102-HT4372_at,242,134
HG4114-HT4384_at,679,650
HG4126-HT4396_at,117,15
HG4128-HT4398_at,-263,-67
HG4144-HT4414_at,-19,-36
HG415-HT415_at,-136,93
HG4157-HT4427_at,152,77
HG4165-HT4435_at,-74,21
HG4167-HT4437_at,618,352
HG4178-HT4448_at,225,159
HG4185-HT4455_at,334,131
HG4188-HT4458_at,-350,-201
HG4194-HT4464_at,-202,14
HG4234-HT4504_at,315,136
HG4243-HT4513_at,286,553
HG4245-HT4515_at,-19,11
HG4258-HT4528_at,-129,124
HG4263-HT4533_at,-145,-71
HG4272-HT4542_at,936,578
HG429-HT429_at,32,10
HG4297-HT4567_at,928,3045
HG4310-HT4580_at,-255,-195
HG4316-HT4586_at,-431,-329
HG4319-HT4589_at,13924,25285
HG4321-HT4591_at,-64,-87
HG4332-HT4602_at,1092,840
HG4333-HT4603_at,323,430
HG4336-HT4606_at,539,288
HG4390-HT4660_at,80,418
HG4411-HT4681_at,-478,-191
HG4433-HT4703_at,-100,-146
HG4458-HT4727_at,-91,-70
HG4460-HT4729_at,121,14
HG4462-HT4731_at,-79,-164
HG4480-HT4833_at,-447,-340
HG4533-HT4938_at,640,373
HG4542-HT4947_at,11003,12850
HG4582-HT4987_at,244,101
HG4606-HT5011_at,491,346
HG4638-HT5050_at,-396,85
HG4660-HT5073_at,517,388
HG4662-HT5075_at,-39,-309
HG4704-HT5146_at,240,299
HG4716-HT5158_at,204,842
HG4724-HT5166_at,296,199
HG4740-HT5187_at,11,-21
HG4747-HT5195_at,-104,-4
HG4749-HT5197_at,260,-128
HG511-HT511_at,76,373
HG537-HT537_at,-239,-241
HG544-HT544_at,-2820,-3276
HG613-HT613_at,11216,15296
HG620-HT620_at,877,333
HG64-HT64_at,147,135
HG644-HT644_at,-189,-404
HG662-HT662_at,4767,5058
HG668-HT4793_at,-74,77
HG732-HT732_at,215,135
HG742-HT742_at,-227,-40
HG821-HT821_at,14255,15210
HG825-HT825_at,-397,-356
HG830-HT830_at,875,917
HG831-HT831_at,240,187
HG846-HT846_at,789,627
HG870-HT870_at,-1,-135
HG896-HT896_at,-278,-253
HG907-HT907_at,-381,-221
HG908-HT908_at,288,345
HG909-HT909_at,-41,209
HG919-HT919_at,22,354
HG921-HT3995_at,-40,-136
HG960-HT960_at,541,378
HG961-HT961_at,-325,-343
HG987-HT987_at,206,215
J00073_at,607,289
J00123_at,56,62
J00124_at,225,194
J00129_at,89,190
J00287_at,-519,-808
J00301_at,-113,-28
J00306_at,486,429
J02611_at,786,521
J02645_at,170,178
J02843_at,17,66
J02854_at,-246,219
J02874_at,-14,-14
J02876_at,-1426,-1150
J02883_at,234,167
J02888_at,493,513
J02902_at,2447,2527
J02906_at,956,923
J02923_at,1673,2550
J02943_at,294,337
J02963_at,334,208
J02973_rna1_at,-363,-63
J03040_at,65,-212
J03068_at,330,189
J03069_rna1_at,1879,1533
J03133_at,367,211
J03161_at,836,609
J03171_at,-185,118
J03191_at,5807,12826
J03258_at,-273,-169
J03278_at,581,537
J03459_at,849,1096
J03473_at,2018,650
J03474_at,-667,-241
J03507_at,-16,59
J03589_at,195,74
J03592_at,9621,5137
J03600_at,2202,1250
J03756_at,1211,655
J03764_at,530,319
J03779_at,6350,1751
J03798_at,200,219
J03810_at,83,26
J03824_at,-38,197
J03827_at,6895,10249
J03890_rna1_at,483,43
J03909_at,381,2320
J03925_at,299,311
J03930_at,800,458
J04027_at,96,390
J04031_at,455,409
J04040_at,215,166
J04056_at,-152,-113
J04058_at,138,176
J04076_at,-50,-36
J04080_at,68,67
J04088_at,570,217
J04101_at,127,-1136
J04102_at,221,1813
J04111_at,204,162
J04132_at,386,508
J04156_at,0,-7
J04162_at,251,151
J04164_at,1158,15997
J04173_at,2398,4000
J04177_at,528,313
J04444_at,-454,-774
J04456_at,212,1346
J04469_at,99,422
J04501_at,167,-206
J04543_at,199,418
J04599_at,1338,398
J04605_at,285,489
J04611_at,977,1940
J04615_at,2117,4069
J04621_at,-29,-65
J04739_at,40,89
J04742_at,-7,-9
J04760_at,190,-79
J04794_at,1132,795
J04809_rna1_at,695,334
J04823_rna1_at,2140,3003
J04948_at,584,389
J04970_at,11,3
J04973_at,696,795
J04982_at,-11,-10
J04988_at,4483,8334
J04990_at,524,413
J05008_at,-48,-26
J05032_at,166,278
J05037_at,-721,-96
J05068_at,-3,-121
J05070_at,174,-105
J05073_at,-61,-172
J05096_rna1_at,74,52
J05125_at,-25,-58
J05158_at,-230,-101
J05213_at,90,-67
J05243_at,610,927
J05249_at,2004,1170
J05257_at,511,228
J05272_at,1286,824
J05401_at,93,0
J05428_at,58,-8
J05448_at,-48,237
J05459_at,-82,-1
J05500_at,210,184
J05556_at,182,48
J05614_at,2561,2805
J05682_at,128,100
K01383_at,398,398
K01396_at,158,1187
K01884_at,-26,79
K01911_at,3172,5
K02054_at,8,-26
K02100_at,238,51
K02215_at,26,-12
K02268_at,231,-116
K02402_at,-67,-8
K02545_cds2_at,-1,-43
K02574_at,2070,1030
K02765_at,102,-48
K03008_cds1_at,-194,23
K03008_cds2_at,368,179
K03021_at,141,93
K03195_at,582,486
K03218_at,260,187
K03430_at,571,429
K03460_at,902,1275
K03474_at,14,548
K03515_at,1301,3048
L00137_cds1_at,90,77
L00352_at,227,317
L00354_at,70,-51
L00635_at,559,350
L00972_at,227,259
L01042_at,-17,129
L01087_at,0,385
L01406_at,83,-129
L01664_at,-39,-54
L02320_at,31,-32
L02321_at,108,-249
L02426_at,822,1263
L02547_at,10,19
L02648_at,-78,125
